,Fraction of Outliers (Mean),Fraction of Outliers (Median),Fraction of Outliers (Std Dev),Fraction of Outliers IQR,Fraction of Outliers percent outliers,GCOR,Participant,Quality (Mean),Quality (Median),Quality (Std Dev),Quality IQR,Quality percent outliers,RMSD (Mean),RMSD (Median),RMSD (Std Dev),RMSD IQR,RMSD percent outliers,Series,Session,Site,Std. DVARS (Mean),Std. DVARS (Median),Std. DVARS (Std Dev),Std. DVARS percent outliers,Std. DVARs IQR,aux_file,bitpix,data_type,db_name,descrip,extensions,intent_name,pix_dimx,pix_dimy,pix_dimz,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,scl_inter,scl_slope,sform_code,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,tr
3129,0.0068107609,0.000555,0.0157719887,0.0027525,0.1467391304,0.0370494968,26058,0.0763183418,0.07385055,0.0050173212,0.0047189,0.1032608696,0.1018106535,0.083266325,0.0888435185,0.0599578767,0.0706521739,rest_2,session_1,IPCAS_7,1.2482923677,1.1894214,0.2914595899,0.0710382514,0.1411082201,,16,,,,1,,3,3,3.33,1,107.998077393,-97.6748886108,-6.4785327911,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          107.99807739],[ -0.           3.          -0.         -97.67488861],[ 0.          0.          3.32999969 -6.47853279],0,2.5
3130,0.0012857609,0.000695,0.0014151726,0.00093,0.0923913043,0.0367821477,26058,0.0766586527,0.0756447,0.0029905713,0.00412795,0.0054347826,0.093977339,0.0647899034,0.0936001138,0.0613151601,0.0706521739,rest_1,session_1,IPCAS_7,1.0169043498,0.9695582269,0.2242580288,0.1038251366,0.0933099781,,16,,,,1,,3,3,3.33,1,107.998077393,-97.6748886108,-6.4785327911,0,1,0,,,1,0,0,37,0,[  -3.           -0.           -0.          107.99807739],[ -0.           3.          -0.         -97.67488861],[ 0.          0.          3.32999969 -6.47853279],0,2.5
3131,0.0021466848,0.00097,0.0043589717,0.001115,0.1304347826,0.1072585238,26059,0.0902681652,0.08981845,0.0026465894,0.003363725,0.0326086957,0.1890062944,0.1562659121,0.1395278725,0.1513287535,0.0434782609,rest_2,session_1,IPCAS_7,1.1705886855,1.0849202225,0.4169265859,0.0710382514,0.3468512689,,16,,,,1,,3,3,3.33,1,108,-97.1617507935,-52.0141487122,0,1,0,,,1,0,0,37,0,[  -3.   -0.   -0.  108.],[ -0.           3.          -0.         -97.16175079],[  0.           0.           3.32999992 -52.01414871],0,2.5
3132,0.0011997283,0.000645,0.0013830344,0.0008225,0.1086956522,0.034817093,26059,0.0964213761,0.09624835,0.0022091105,0.002756625,0.027173913,0.1494189199,0.1070146214,0.131561803,0.1199874243,0.0706521739,rest_1,session_1,IPCAS_7,1.0280630005,0.9223007347,0.3317273698,0.0655737705,0.2686566792,,16,,,,1,,3,3,3.33,1,108,-97.1617507935,-52.0141487122,0,1,0,,,1,0,0,37,0,[  -3.   -0.   -0.  108.],[ -0.           3.          -0.         -97.16175079],[  0.           0.           3.32999992 -52.01414871],0,2.5
3133,0.0261330978,0.00091,0.0325982231,0.0598125,0,0.0245727813,26060,0.1108640853,0.1016955,0.0141774272,0.02377665,0.0054347826,0.2539816319,0.0852640223,0.9171250837,0.1099492284,0.0869565217,rest_2,session_1,IPCAS_7,0.7650167033,0.61777712,0.6477602323,0.087431694,0.1472308136,,16,,,,1,,3,3,3.33,1,111.15977478,-97.3915252686,-27.4825611115,0,1,0,,,1,0,0,37,0,[  -3.00000024   -0.           -0.          111.15977478],[ -0.           3.00000024  -0.         -97.39152527],[  0.           0.           3.32999992 -27.48256111],0,2.5
3134,0.008461087,0.00074,0.0193975134,0.0037125,0.1793478261,0.0540710801,26060,0.1034029989,0.098941,0.0099515503,0.00993275,0.0652173913,0.2145108239,0.1173188204,0.409070377,0.1123227928,0.1086956522,rest_1,session_1,IPCAS_7,1.164238592,0.9610047265,0.7337386778,0.1256830601,0.2052566693,,16,,,,1,,3,3,3.33,1,111.15977478,-97.3915252686,-27.4825611115,0,1,0,,,1,0,0,37,0,[  -3.00000024   -0.           -0.          111.15977478],[ -0.           3.00000024  -0.         -97.39152527],[  0.           0.           3.32999992 -27.48256111],0,2.5
3135,0.0008317935,0.00062,0.0006913334,0.00027,0.1195652174,0.1153661828,26061,0.1080492391,0.107807,0.0019381567,0.00304225,0,0.0495546205,0.0422095547,0.030401053,0.031320185,0.0543478261,rest_1,session_1,IPCAS_7,1.117913623,1.1191780009,0.145881277,0.0218579235,0.187607836,,16,,,,1,,3,3,3.33,1,106.713951111,-103.196708679,-20.3191337585,0,1,0,,,1,0,0,37,0,[  -2.99999976   -0.           -0.          106.71395111],[  -0.            3.00000024   -0.         -103.19670868],[  0.           0.           3.32999992 -20.31913376],0,2.5
3136,0.0014738043,0.00062,0.0026132571,0.0003675,0.152173913,0.0685727312,26061,0.1052815326,0.104604,0.002495047,0.0025605,0.0652173913,0.0364533548,0.0317986053,0.025889997,0.0200216799,0.0815217391,rest_2,session_1,IPCAS_7,1.1482159681,1.1166308474,0.2109918777,0.0382513661,0.2174189824,,16,,,,1,,3,3,3.33,1,106.713951111,-103.196708679,-20.3191337585,0,1,0,,,1,0,0,37,0,[  -2.99999976   -0.           -0.          106.71395111],[  -0.            3.00000024   -0.         -103.19670868],[  0.           0.           3.32999992 -20.31913376],0,2.5
3137,0.0012991848,0.000645,0.0017783865,0.0005225,0.1413043478,0.104522886,26062,0.0923154603,0.0917596,0.0024039371,0.0022003,0.097826087,0.0972048624,0.082309933,0.0563470162,0.0583045308,0.0543478261,rest_2,session_1,IPCAS_7,1.1059829918,1.0723755566,0.1403685822,0.0710382514,0.1286652465,,16,,,,1,,3,3,3.33,1,110.027954102,-100.639541626,-10.0512838364,0,1,0,,,1,0,0,37,0,[  -3.          -0.          -0.         110.0279541],[  -0.            3.           -0.         -100.63954163],[  0.           0.           3.32999992 -10.05128384],0,2.5
3138,0.0011697826,0.000795,0.0012652247,0.000745,0.097826087,0.0247991807,26062,0.0925471136,0.0922261,0.0022237167,0.003627325,0,0.106874923,0.0848074602,0.0798817287,0.0778016325,0.0543478261,rest_1,session_1,IPCAS_7,1.0654707439,1.0419074434,0.2089383129,0.0382513661,0.2613261975,,16,,,,1,,3,3,3.33,1,110.027954102,-100.639541626,-10.0512838364,0,1,0,,,1,0,0,37,0,[  -3.          -0.          -0.         110.0279541],[  -0.            3.           -0.         -100.63954163],[  0.           0.           3.32999992 -10.05128384],0,2.5
