,EFC,FBER,FWHM,FWHM_x,FWHM_y,FWHM_z,Ghost_y,Participant,SNR,Series,Session,Site,aux_file,bitpix,data_type,db_name,descrip,extensions,intent_name,pix_dimx,pix_dimy,pix_dimz,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,scl_inter,scl_slope,sform_code,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,tr
57,0.598725985,21.6393638314,1.8903930433,1.8436601465,2.1897935074,1.6732925997,0.0538440421,3038,8.6024573345,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,99.1494750977,-76.8731613159,-23.766046524,0,1,0,,,1,0,0,0,0,[ -2.99999976  -0.          -0.          99.1494751 ],[ -0.           2.99999976  -0.         -76.87316132],[  0.           0.           3.99999976 -23.76604652],0,0
58,0.5976676193,22.0473839163,1.8947723042,1.8356468126,2.1499368375,1.7236751027,0.0529221147,3038,8.6615384956,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,99.1494750977,-76.8731613159,-23.766046524,0,1,0,,,1,0,0,0,0,[ -2.99999976  -0.          -0.          99.1494751 ],[ -0.           2.99999976  -0.         -76.87316132],[  0.           0.           3.99999976 -23.76604652],0,0
59,0.5761771234,30.7163013135,2.0615658114,2.0079233333,2.3711801884,1.840265,0.0518405512,3039,10.3943666079,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,98.5400619507,-76.2935409546,-22.2197341919,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          98.54006195],[ -0.           2.99999976  -0.         -76.29354095],[  0.           0.           4.         -22.21973419],0,0
60,0.5734566691,32.6433401266,2.0867329329,2.0489666667,2.3931268569,1.8531025,0.0501415133,3039,10.7367605043,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,98.5400619507,-76.2935409546,-22.2197341919,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          98.54006195],[ -0.           2.99999976  -0.         -76.29354095],[  0.           0.           4.         -22.21973419],0,0
61,0.6121330549,23.6480634178,2.1854327134,2.105,2.4592866667,2.0162825,0.0718801767,3040,8.1707174505,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.2699050903,-60.6467323303,-61.7386932373,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          97.26990509],[ -0.           3.          -0.         -60.64673233],[  0.           0.           4.         -61.73869324],0,0
62,0.613785146,23.6774681112,2.1759079732,2.1017066667,2.4440533333,2.0055725,0.0678897202,3040,8.2334559492,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.2699050903,-60.6467323303,-61.7386932373,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          97.26990509],[ -0.           3.          -0.         -60.64673233],[  0.           0.           4.         -61.73869324],0,0
63,0.5831644579,29.9108803327,2.2622940474,2.2247866667,2.54589,2.0441802437,0.0352661498,3041,10.3268879693,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,102.66317749,-68.0440063477,-45.5261573792,0,1,0,,,1,0,0,0,0,[  -3.           -0.           -0.          102.66317749],[ -0.           3.          -0.         -68.04400635],[  0.           0.           3.99999952 -45.52615738],0,0
64,0.5817273431,31.0004609228,2.2541442612,2.2355333333,2.5244366667,2.0295502419,0.0342784412,3041,10.4952183521,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,102.66317749,-68.0440063477,-45.5261573792,0,1,0,,,1,0,0,0,0,[  -3.           -0.           -0.          102.66317749],[ -0.           3.          -0.         -68.04400635],[  0.           0.           3.99999952 -45.52615738],0,0
65,0.5935364526,26.0118710783,2.0127367502,1.95942,2.27987,1.8252526088,0.0547746867,3042,9.5112151929,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,92.4631347656,-71.0692443848,-51.8782272339,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          92.46313477],[ -0.           3.          -0.         -71.06924438],[  0.           0.           3.99999976 -51.87822723],0,0
66,0.5920798396,25.9537398421,2.0170463548,1.9590266667,2.28252,1.8352351094,0.0539183207,3042,9.4755618245,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,92.4631347656,-71.0692443848,-51.8782272339,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          92.46313477],[ -0.           3.          -0.         -71.06924438],[  0.           0.           3.99999976 -51.87822723],0,0
